name,lat,lon,time,time_iso,u_wind,v_wind,dew_point,temperature,cloud_height,evaporation,wind_gust,mean_evaporation_rate,mean_potential_evaporation_rate,pressure,potential_evaporation,precipitation_type,soil_temperature,volumetric_soil_water,cloud_cover,hourly_precipitation,wind_angle,wind_direction,wind_speed
Point,51.5074,-0.1251,1700042400,2023-11-15T10:00:00,4.5381317138671875,1.29052734375,7.184411621093773,10.048364257812523,null,-7.630023173987865e-05,10.292945861816406,-2.120155841112137e-05,-1.74699816852808e-05,1016.308125,-6.289663724601269e-05,0.0,9.400720214843773,0.38686996698379517,0.0,0.0,254,w,4.718061071814731
Point,51.5074,-0.1251,1700046000,2023-11-15T11:00:00,5.5889739990234375,1.2903289794921875,6.544305419921898,10.874597167968773,537.11669921875,-0.00011805561371147633,12.515397071838379,-3.279140219092369e-05,-3.114831633865833e-05,1016.493125,-0.00011213845573365688,0.0,10.150415039062523,0.38614314794540405,0.02923583984375,0.0,257,w,5.735989821911941
Point,51.5074,-0.1251,1700049600,2023-11-15T12:00:00,6.10986328125,1.0572662353515625,5.919824218750023,11.308435058593773,593.110107421875,-0.00013953261077404022,12.800045013427734,-3.875349648296833e-05,-4.249578341841698e-05,1016.656875,-0.00015300489030778408,0.0,10.653802490234398,0.3852705955505371,0.094329833984375,0.0,260,w,6.200664577928843
Point,51.5074,-0.1251,1700053200,2023-11-15T13:00:00,6.3394622802734375,0.7212371826171875,5.591638183593773,11.457421875000023,609.5443725585938,-0.0001336128916591406,12.153409957885742,-3.711972385644913e-05,-4.544924013316631e-05,1017.05375,-0.00016362988390028477,0.0,10.993829345703148,0.38435301184654236,0.098358154296875,0.0,264,w,6.380357754593333
Point,51.5074,-0.1251,1700056800,2023-11-15T14:00:00,5.6584930419921875,0.573028564453125,5.003900146484398,11.303125000000023,707.4093017578125,-0.00011043623089790344,11.505058288574219,-3.067869693040848e-05,-3.9378879591822624e-05,1017.083125,-0.00014175032265484333,0.0,11.048974609375023,0.38351455330848694,0.112274169921875,0.0,264,w,5.687433976931355
Point,51.5074,-0.1251,1700060400,2023-11-15T15:00:00,5.36578369140625,0.60186767578125,4.842065429687523,10.846093750000023,851.1038818359375,-7.675774395465851e-05,10.310214042663574,-2.1318672224879265e-05,-2.7709640562534332e-05,1017.41125,-9.975372813642025e-05,0.0,10.865075683593773,0.38284823298454285,0.120361328125,0.0,264,w,5.3994332408236705
Point,51.5074,-0.1251,1700064000,2023-11-15T16:00:00,4.8972015380859375,0.394927978515625,4.539300537109398,9.771295166015648,1000.0680541992188,-3.158627077937126e-05,9.049970626831055,-8.777016773819923e-06,-1.0446878150105476e-05,1017.8025,-3.762822598218918e-05,0.0,10.213464355468773,0.38234835863113403,0.05438232421875,0.0,265,w,4.91309993922836
Point,51.5074,-0.1251,1700067600,2023-11-15T17:00:00,4.4640655517578125,0.663177490234375,4.169458007812523,8.715112304687523,1252.6700439453125,-1.05986837297678e-05,7.7408576011657715,-2.937857061624527e-06,-2.2547319531440735e-06,1018.17375,-8.105067536234856e-06,0.0,9.305322265625023,0.381930947303772,0.179779052734375,0.0,262,w,4.513057238053197
Point,51.5074,-0.1251,1700071200,2023-11-15T18:00:00,4.02166748046875,0.74676513671875,4.066400146484398,8.002893066406273,1459.0703125,-8.305301889777184e-06,6.709628582000732,-2.303626388311386e-06,-1.6563571989536285e-06,1018.31125,-5.958136171102524e-06,0.0,8.747949218750023,0.3815562129020691,0.06378173828125,0.0,259,w,4.090411653229836
Point,51.5074,-0.1251,1700074800,2023-11-15T19:00:00,3.63458251953125,0.8535614013671875,4.165979003906273,7.456323242187523,null,-6.152316927909851e-06,6.730939865112305,-1.7047859728336334e-06,-1.0409858077764511e-06,1018.433125,-3.7329737097024918e-06,0.0,8.475061035156273,0.3812340497970581,0.06610107421875,0.0,257,w,3.7334644979142424
Point,51.5074,-0.1251,1700078400,2023-11-15T20:00:00,3.3780517578125,0.8950042724609375,4.174890136718773,6.788537597656273,5388.2099609375,-4.506902769207954e-06,6.202508449554443,-1.24308280646801e-06,-5.739275366067886e-07,1018.498125,-2.0619481801986694e-06,0.0,8.062951660156273,0.3809080719947815,0.843994140625,0.0,255,w,3.4946053176551217
